ADF-SOI | ADF-SOI | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/l786913_shared_development/CosmosDB | CosmosDB | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/l786913_shared_development/cosmosdb | cosmosdb | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/Manoj_pipelines | Manoj_pipelines | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/NSG_dev | NSG_dev | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871 | p278871 | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines | Promotion_pipelines | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/botServices | botServices | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/cognitive_services | cognitive_services | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/cognitiveServices | cognitiveServices | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/cosmosdb | cosmosdb | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/databricks | databricks | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/eventhubs | eventhubs | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/hdinsights | hdinsights | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/mssqlJobs | mssqlJobs | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/postGresJobs | postGresJobs | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/StorageAccountJobs | StorageAccountJobs | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/Promotion_pipelines/StorageAccountJobs/storage_v2 | storage_v2 | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/p278871/synapse_tests | synapse_tests | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/RajMarri | RajMarri | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/Shared_Library_test | Shared_Library_test | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/test_libraries | test_libraries | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/Test_RD | Test_RD | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/Test_RD1 | Test_RD1 | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/VivSharedLibrary | VivSharedLibrary | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/VivSharedLibrary/AppServicePlan | AppServicePlan | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/VivSharedLibrary/AppSvcEnv | AppSvcEnv | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/VivSharedLibrary/chatbotdeploy | chatbotdeploy | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/VivSharedLibrary/KeniceChatbot | KeniceChatbot | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/azuredash | azuredash | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/db-paas | db-paas | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/DNS-Services | DNS-Services | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/kubernetes | kubernetes | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/kubernetes/terraform | terraform | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/monitoring | monitoring | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/playground | playground | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/playground/aks | aks | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/playground/hq | hq | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/sandbox | sandbox | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/sandbox/DXCSamplePipelines | DXCSamplePipelines | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/sandbox/RSP | RSP | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/sandbox/test-bluedash-sp | test-bluedash-sp | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/sandbox/TRK | TRK | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/script-syncing | script-syncing | class com.cloudbees.hudson.plugins.folder.Folder
casb_aznetskope | casb_aznetskope | class com.cloudbees.hudson.plugins.folder.Folder
casb_aznetskope/casb_aznetskope_prod | casb_aznetskope | class com.cloudbees.hudson.plugins.folder.Folder
CCS-TI | CCS-TI | class com.cloudbees.hudson.plugins.folder.Folder
CD-NFS | CD-NFS | class com.cloudbees.hudson.plugins.folder.Folder
CDTS-Telehealth | CDTS-Telehealth | class com.cloudbees.hudson.plugins.folder.Folder
CDTS-Telehealth/RCDI | RCDI | class com.cloudbees.hudson.plugins.folder.Folder
CDTS-Telehealth/RCDI/APIGEE | APIGEE | class com.cloudbees.hudson.plugins.folder.Folder
CDTS | CDTS | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/CDTS-ASD-AE | CDTS-ASD-AE | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/CDTS-ASD-AE/Azure-MDCal | Azure-MDCal | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/CDTS-ASD-AE/MDC Retired | MDC Retired | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/CDTS-PHT | CDTS-PHT | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/CDTS-SCAL-BE | CDTS-SCAL-BE | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/CDTS-SCAL-BE/DONT USE - dev-cdts-scal | DONT USE - dev-cdts-scal | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/CDTS-SCAL-BE/DONT USE - qa-cdts-scal | DONT USE - qa-cdts-scal | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/HIE | HIE | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/HIE/Test Jobs | Test Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/Insight Driven | Insight Driven | class com.cloudbees.hudson.plugins.folder.Folder
CDTS/KPMM | KPMM | class com.cloudbees.hudson.plugins.folder.Folder
Citrx | Citrx | class com.cloudbees.hudson.plugins.folder.Folder
ClarityInt | ClarityInt | class com.cloudbees.hudson.plugins.folder.Folder
CNOE | CNOE | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/aks-workloads | aks-workloads | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Azure Services | Azure Services | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Azure Services/Azure Cognitive Services | Azure Cognitive Services | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Azure Services/Azure Cosmos Database Account | Azure Cosmos Database Account | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Azure Services/eventhubs | eventhubs | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Azure Services/Insights Test Services | Insights Test Services | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Azure Services/Insights Test Services/Azure Cognitive Services | Azure Cognitive Services | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples | AzureSamples | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines | Promotion_pipelines | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/botServices | botServices | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/cognitive_services | cognitive_services | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/cognitiveServices | cognitiveServices | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/cosmosdb | cosmosdb | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/databricks | databricks | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/eventhubs | eventhubs | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/hdinsights | hdinsights | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/mssqlJobs | mssqlJobs | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/PostgresFlexi | PostgresFlexi | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/postGresJobs | postGresJobs | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/ServiceBus | ServiceBus | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/StorageAccountJobs | StorageAccountJobs | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/AzureSamples/Promotion_pipelines/StorageAccountJobs/storage_v2 | storage_v2 | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/BOT_Enhancement | BOT_Enhancement | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Build_Samples | Build_Samples | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/chandrapipelines | ChandraPipelines | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/chandrapipelines/chatbotdeploy | chatbotdeploy | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/chandrapipelines/hdinsights | hdinsights | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/DAIP | DAIP | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Janitor_Jobs | Janitor_Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Jenkins | Jenkins | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/JosephTest | JosephTest | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/p278871 | p278871 | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/Theresa | Theresa | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/VivSharedLibrary | VivSharedLibrary | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/VivSharedLibrary/ADF Code Promotion | ADF Code Promotion | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/VivSharedLibrary/AppServicePlan | AppServicePlan | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/VivSharedLibrary/AppSvcEnv | AppSvcEnv | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/VivSharedLibrary/chatbotdeploy | chatbotdeploy | class com.cloudbees.hudson.plugins.folder.Folder
CNOE/VivSharedLibrary/KeniceChatbot | KeniceChatbot | class com.cloudbees.hudson.plugins.folder.Folder
Crowd | Crowd | class com.cloudbees.hudson.plugins.folder.Folder
Crowd/A2O | A2O | class com.cloudbees.hudson.plugins.folder.Folder
Crowd/CrowdNewUser | CrowdNewUser | class com.cloudbees.hudson.plugins.folder.Folder
Crowd/FOTF | FOTF | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT | CS-IT | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD | ASD | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/A20 Audit and Monitor | A20 Audit and Monitor | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/A20 Program Cost | A20 Program Cost | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/A20 Training | A20 Training | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/A20ML | A20ML | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin | Admin | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Stored Procedure | Stored Procedure | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Stored Procedure/MMT | MMT | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Stored Procedure/RADA | RADA | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Stored Procedure/SE | SE | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Trial Jobs | Trial Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Trial Jobs/AzDF test build | AzDF test build | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Trial Jobs/databricks | databricks | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Trial Jobs/MSFT-DevOps-Sandbox | MSFT-DevOps-Sandbox | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Trial Jobs/Python | Python | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Admin/Trial Jobs/retrieve_synapse_data_pushto_ALM | retrieve_synapse_data_pushto_ALM | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/AE | AE | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ARR | ARR | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ATSE | ATSE | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ATSE/Master Reference | Master Reference | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ATSE/Master Reference/AKV Secrets Services | AKV Secrets Services | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ATSE/Master Reference/Azure Data Factory | Azure Data Factory | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ATSE/Master Reference/Azure Data Factory/demo | demo | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ATSE/Master Reference/Azure Data Factory/demo/demo | demo | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ATSE/Master Reference/Synapse | Synapse | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ATSE/Master Reference/TIBCO | TIBCO | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/CFD | CFD | class com.cloudbees.hudson.plugins.folder.Folder
